number,close_notes
INC1409138,COnfirmed with Christina. This can be closed. It was a setting in her view which was causing the  missing rows
INC1408496,restarted
INC1408495,restarted
INC1408316,restarted
INC1408305,restarted
INC1408260,restarted
INC1407409,RESTARTED
INC1406525,RESTARTED
INC1406306,restarted
INC1406165,CLosing as confirmed by Lyndsey
INC1406100,"Material descriptions captured correctly from SAP. 
Lynn is reaching out to Mater data team for more info on the naming convention
"
INC1405720,Confimed with Christina. This is looking good today after the fix to update published forecast in IBP to only open weeks/period thus closing the incident
INC1405608,restarted
INC1405403,Restarted
INC1404599,RESTARTED
INC1404435,RESTARTED
INC1403952,cancelled manually
INC1403809,cancelled manually
INC1403716,Adhoc run complete.
INC1403649,redundant
INC1403646,redundant
INC1403330,restarted
INC1403270,IBP Downtime
INC1403262,ibp maintenance downtime
INC1403255,restarted
INC1403104,RESTARTED
INC1402944,"restarted
"
INC1402796,This was fixed and change was moved last week. Closing the incident as complete
INC1402580,"Source lIst was fixed and the PSV looks good now for full validity.

Confirmed by Melissa to close.
"
INC1401626,restarted
INC1401393,restarted
INC1400945,Confirmed with Melissa. The frozen horizon is working as expecetd
INC1400942,Storage costs updated and periods of coverage look better now. Confirmed my Melissa to close.
INC1400920,Confirmed with Melissa this is fixed
INC1400846,Confirmed with Carol this is resolved
INC1400642,"Provided the requested details

No further action from IBP,"
INC1399976,"Planning material mismatch.

Information provided to the SCA team. 

Closing the ticket as not further action required"
INC1399744,"PDS transfer was done and Lynsdey was able to create order in product view
"
INC1399579,"run the required jobs to clear the incorrect forecast which was making governing forecast low

Forecast looks better now. Confirmed by Tim to close"
INC1399486,"POs present in the system

Other 2 examples: 
3242CI
4030CI

were being dropped due to master data issue.
Pawan is checking master data and source list.
Confirmed on closing"
INC1399171,"Incorrect planning material assignment

The task to correct the incorrect link between material 210046316 & planning material 1507 was assigned to Samantha Faria"
INC1398569,redundant
INC1398568,redundant
INC1398302,RESTARTED
INC1398152,RESTARTED
INC1398121,RESTARTED
INC1398112,restarted
INC1398067,restarted
INC1398038,restarted
INC1397954,"Closing this as it is a duplicate
Issue will be tracked on incident : INC1397734"
INC1397912,Provided the analysis of why the mentioned SKUs are not coming into IBP. They do not have a active eligibility record. Provided the information to respective stakeholders on email. Confirmed with Chris on teams to close this incident as there is no action on run team. Chris would cordinate the eligibility changes/updates with relevant teams
INC1397734,Confirmed with Jenna this is resolved
INC1397354,"Master data corrected as requested
"
INC1397321,RESTARTED
INC1396499,RESTARTED
INC1396089,Confirmed with Maggie on teams that draft forecast looks good in ORI. Thus closing this incident
INC1395390,restarted
INC1395125,"Converting this to a Service Request as per our process as this is not a break/Fix.

Request Number: REQ0254415"
INC1395044,Confirmed with Sharlyn. This looks good
INC1395039,"Discussed with Melissa. This is not a system issue. The difference in two key figure is due to scheduled tming - One is refreshed weekly and other is refreshed daily. Thus there can be gaps. As discussed with Melissa, closing this"
INC1393998,AL Netted del issue is resolved. The Rebal STO is being managed as a separate ticket
INC1393789,Adjusted the cost so that huge VSF is not created.
INC1393560,Confirmed with Sharlyn. The SKUS are planning fine. THere were gaps in storage cost manual edits which was required to be corrected
INC1393204,redundant
INC1393131,"Root Cause: EDW Failover which casued shipment history to be dropped.

Fix: reran the inbound job to correct history"
INC1392888,RESTARTED
INC1392832,ibp maintenance downtime
INC1392831,ibp maintenance downtime
INC1392829,restarted
INC1392822,IBP System maintenance downtime
INC1392793,RESTARTED MANUALLY
INC1392439,restarted
INC1392254,Confirmed with Melissa. This is working as expected
INC1392149,Discussed with Cheng Hong. She is ok to close this incident as it is working as designed. The records from ORDKEY would get dropped if a user is deletes the order. The ZTSCP_ORD_EDW gets updated the daily the next day. I have attached email with analysis for a given SKU
INC1392029,Discussed with Rajshree. She would internally review the master data setup for ship off line SKU with respect to creating STO from available vs restricted inventory. Refer my last note on the ticket for the analysis done on this ticket
INC1391687,restarted
INC1391362,"Had a call with Melissa. See below analysis on the 4 problems.
Problem #1 : No issue found. Production orders are older than 90 days based on their creation date. Thus by design not coming into IBP
Problem #2 : 1121 Plant has a 5 day calendar. 05/23 is a sunday and is not open to create VSF. Thus VSF is not created in SAP for that date. Melissa/Kristina would open a separate ticket for resolution to this issue. Would require a configuration change
Problem #3 : It seems to be a optimizer behavior to plan excessive right outside frozen horizon. Would further investigate this as a separate dedicated ticket for this
Problem #4 : No issue found. The gap is due to production aging lead time (60 day autohold duration)

Closing this ticket as discussed with Melissa. Will continue with dedicated tickets for Problem 2 and Problem 3"
INC1391277,Sent detailed explanation in email. This is not an issue with IBP thus closing the ticket. it is working as designed.  Christina will open a ticket with Sales force team to correct the sales domain field in classification
INC1390837,Restarted cancelled workflow
INC1390035,"Connection error in CPI-DS

Ticket used for tracking: INC1390016"
INC1390016,"resolved
awaiting RCA
"
INC1390010,"Connection error in CPI-DS

Ticket used for tracking: INC1390016"
INC1389998,"Connection error in CPI-DS

Ticket used for tracking: INC1390016"
INC1389874,Received confirmation from Melissa to close this ticket
INC1389753,See my last note. Carol updated the master data for minimum lot size
INC1389633,"Discussed with Joel, that we can close this incident as there is no remaining activity from IBP. We did the rerun of IBP to EDW and EDW to ORI push.  Will continue discussing further on email with respective stakeholders. Also Christina confirmed this morning that draft looks good.  

As a take away, in case of any future ad-hoc runs from EDW to ORI, send an email to ORI team to import the latest file. "
INC1389055,restarted
INC1389054,restarted
INC1388790,"Confirmed with Lynn, that it is working as expected. After the scheduled job run"
INC1388431,"Checked with Christina and Joel. To avoid this issue in future, run team would not do the request of manual push of draft forecast to EDW in case we are experiencing delays in weekend processing to avoid doubling up the value on monday"
INC1388384,Moved the transports. Validated intransit examples. Most of them are resolved. Validating others as part of the other open ticket
INC1388086,redundant step
INC1388085,redundant
INC1388010,Validated. Flavor description is now populated
INC1387962,Change moved and Validated by Ajit
INC1387794,restarted
INC1387793,restarted
INC1387791,restarted
INC1387770,restarted
INC1387553,RESTARTED
INC1386485," ""High Side Final – Published"" and ""Low Side Final – Published"" key figures are now populated"
INC1386431,Connected with Joel and Maggie. The SKUs are not coming in because they have a marketing exclusion maintained with end date of 12/31/9999
INC1385773,cancelled
INC1385772,Restarted
INC1385670,restarted
INC1385454,Correct planning area was selected. Tanya was able to log in.
INC1385351,Ad hoc run heuristic fixed this
INC1385148,"Reviewed and discussed with Sharlyn - This is SAP behavior that date fixed orders do not show up in stock requirements as firmed. I am checking parallelly with SAP in case there is anything that can be done for this. Meanwhile Sharlyn would continue to use the workaround being used by other planners.  Since this is a known SAP design, I am closing this incident after discussions with Sharlyn"
INC1384937,Attached email sent to business on this. This is working as designed but due to incorrect business practise of updating the delivery directly this is not coming into IBP. Planers have maintained the history overrides in IBP as a work around
INC1384878,cancelled manually
INC1384877,Cancelled manually
INC1384125,restarted
INC1384124,restarted
INC1383870,"Issue is identified. 

We need to run TCode: 
/n/sapapo/md74

/SAPAPO/RM60RR20

this is will be added as Daily job in PPDS Daily run. 
Automic Enhancement created.
Until then, this will be tracked as Service Request
REQ0251654 / TASK0352667"
INC1383799,Connected with Sarah on this.   This seems to be related to the past stuck VSF and not with inventory. Since there is already a specific ticket for past VSF that we are working on so closing this ticket
INC1383192,restarted
INC1383089,restarted
INC1383040,Connected with Mandy over teams call. THe forecast overrides were loaded.
INC1382768,RESTARTED
INC1382758,RESTARTED
INC1382732,RESTARTED
INC1382683,validated all steps are ran fine. Archive step failed as business kept the file open
INC1382346,"need document rules for inbound key figure

Closing this incident and will be tracked as a Problem: PRB0044359"
INC1382326,"Connected with mandy. 
Use regular override KF to change forecast.

Issue reolved as cofirmed my Mandy.
"
INC1382269,"Validated the example provided. The PO are not coming into IBP based on the existing design for getting PO within the past 30 days of receipt date (based on the logic in integration layer).  Since this is working as designed, closing the incident. Discussed with Melissa to share a document documenting the rules in integration layer as a SNOW request."
INC1381964,Restarted
INC1381771,"As this is an enhancement/maintenance, i will close this Incident and track the change, add setup group 3630_FLV in 1101, by Service request (as per the process)

You can view the service request and contibue to get updates on the same: REQ0250392"
INC1381321,manually cancelled
INC1381320,manually cancelled
INC1381220,restarted
INC1381023,"ended all source lanes for the MB skus (FG Import skus) on 4/12 
Forward plan is generated for  the G3 (1118) skus

Confirmed by sharlyn to close"
INC1380918,"This is a maintenance of a table so as per the process, i will move this to a Service Request and close this ticket. 

Please note: the request number to track this is: REQ0250133 ( TASK0351194 )"
INC1380143,restarted
INC1380040,Discussed with Maggie and Joel. This is a design change and would require business requirements on how to pick up profit center in scenarios where profit center is different for different locations. Joel will create a demand
INC1379972,Updated the variant to clear 1159 old VSF
INC1379713,Confirmed with Melissa. This can be closed
INC1379644,COnfirmed with Sharlyn this looks good. Integration program has been changed to consider inventory code when deciding full materials to create VSF for
INC1379259,restarted
INC1378296,redundant 
INC1378295,redundant 
INC1378232,restarted
INC1378065,"restarted
"
INC1378033,ibp scheduled maintenance.
INC1377874,RESTARTED
INC1377869,RESTARTED
INC1377807,restarted
INC1377274,restarted
INC1377039,"discontinue profile working as expected. No Issue found. The Stat models were not run. 
Explained the steps to Ernst and team over email and call."
INC1376666,Jenna confirmed forecast is looking good
INC1376068,"Need further discussions on further steps for Auto-Firmed orders due to PTF logic in SAP.

Will be tracked as a REQ: REQ0251616/TASK0352616"
INC1376007,"This is updated in production now for 501170 with updated quality tier. Thus marking this ticket as resolved. For any other products, please note that IBP reads data at FM level. Thus please  submit request to master data team to make the quality tier update at full material not at planning material as was done as part of this ticket for 501170"
INC1375491,"Discussed with Sharlyn. Post the cost updates, the SKU are looking good. Sharlyn will create a new ticket in case there are any other such examples/any other issues"
INC1375215,RESTARTED
INC1375156,"Routing was corrected by Carol and she is able to schedule the order now.
"
INC1374925,As this is not a system broken issue closing the incident and will create a request to send data to Melissa for Validation
INC1374817,"Confirmed with Melissa, this is working now"
INC1374178,RESTARTED
INC1374176,RESTARTED
INC1374174,RESTARTED
INC1373435,Ajit fixed the issue. As per discussion with Ajit closing this issue
INC1373401,This is resolved after removing filters
INC1371837,Redundant
INC1371835,redundant
INC1371746,"Shipment history looks good. the update job was rerun.

Closing the ticket"
INC1371650,reran the shipment history jobs again after the weekend run. Jobs are updated now. Oliver confirmed data is present now and looks good.
INC1371606,RESTARTED
INC1371587,RESTARTED
INC1371396,restarted
INC1371222,cancelled manually
INC1371221,restarted
INC1370456,RESTARTED
INC1370455,RESTARTED
INC1369577,RESTARTED
INC1369574,RESTARTED
INC1368725,RESTARTED
INC1368721,RESTARTED
INC1368720,restarted
INC1367236,restarted
INC1367043,"Confirmed with Melissa, This is resolved today"
INC1367038,Redundant
INC1367037,Redundant
INC1366942,restarted
INC1366663,restarted manually
INC1366629,"IBP Maintenance downtime, job restarted"
INC1366552,restarted
INC1366477,restarted
INC1366472,restarted
INC1365934,MB was setup differently as part of sirius deal. (inventory was supposed to be loaded but it is no longer the design and it should work as a regular FG importer. I have changed the setup for MB to be a regular vendor. The VSFs are getting published now. Confirmed with Sharlyn the plan looks good now
INC1365758,"RESTARTED
"
INC1365512,Typo. corrected the error log
INC1365424,Confirmed with Melissa. This is fixed now after breakfix in IBP
INC1365275,"Discussed this with Melissa, The original issues identified as part of this ticket are resolved. There are a couple of items that may need a relook, Melissa would create a separate ticket for those"
INC1365114,"Error due to invalid Factory date in 2202. 

Excluded the plants 1105 and 1157 and reran the program"
INC1365042,Restarted
INC1364998,restarted
INC1364991,restarted
INC1364988,RESTARTED
INC1364061,restarted
INC1364058,restarted
INC1364057,restarted
INC1363029,restarted
INC1363028,restarted
INC1362822,Source List was updated and confirmed  by Sharlyn that the IBP plan looks good. Closing the ticket
INC1362368,cancelled
INC1362366,"cancelled - redundant 
"
INC1362087,RESTARTED
INC1362051,cancelled manually
INC1361617,restarted
INC1361614,"RESTARTED
"
INC1361572,Rajshree confirmed that the user left the file open in the shared folder. Thus the archive step failed. The team have corrected the file and it is working fine now. This can be closed
INC1360948,restarted
INC1360804,No issue found. This is working as designed. Have emailed the details to Joel and Maggie regarding where the drop is happening in EDW. Joel would submit a DMND for this.
INC1360610,Sanjeet confirmed that this incident can be closed
INC1360122,restarted
INC1359114,restarted manually
INC1358974,Confirmed with Carol this is working fine now
INC1358274,restarted
INC1357489,redundant
INC1357487,redundant
INC1357262,restarted
INC1357239,"system was down for maintenance. 
"
INC1356794,cancelled manually
INC1356560,restarted
INC1355852,was not an issue with production version validity in IBP. The issue was with component coefficient for PMIC not getting populated. I have maintained it now and it is planning in IBP now correctly
INC1355513,"Explained to Sharokena and TJ that this is a information message. Please press ""continue"" to continue the process of conversion. 

Received confirmation from TJ that it is converted.  Thus closing the order"
INC1355054,"Issue was due to two PIR programs conflicting and thus the VSFs were being deleted. 
The sequence of programs were changed.
Validated VSFs and are showing up on 000000000210045910 at 1157"
INC1354885,restarted
INC1354883,RESTARTED
INC1354252,"As discussed with Lynn, closing this ticket as it is a same issue as INC1354253.

INC1354253 will be used to track this Planning material"
INC1353485,restarted manually
INC1353109,"Both materials are now planning in PPR

Confirmed by Jacklyn to close"
INC1353010,Closing this incident as its a eligibility change request. Provided the analysis to Lynn on details of eligibility change. 
INC1352534,Retriggerred from IBP
INC1352495,"Root Cause: IBP plan was incorrect due to incorrect storage cost setup.
Cost setup was corrected by clearing manual edit value maintained earlier.

Jacklyn confirmed on closing the ticket as the plan looks good now"
INC1351941,"redundant steps
"
INC1351939,"redundant steps
"
INC1351654,resolved
INC1351630,resolved
INC1351482,"resolved
"
INC1351472,restarted
INC1351458,This is fixed. Confirmed with Rajshree that is it working as expected
INC1350910,RESTARTED
INC1350890,restarted
INC1350877,restarted
INC1349984,RESTARTED
INC1349840,Ajit confirmed he has run the job and is able to populate the key figure values
INC1349674,"corrected the routing to remove operation: wine calendar and did a PDS transfer.

Jacklyn confirmed that she can now create and move the orders.
"
INC1349408,"SKUs were assigned a Rounding Profile as : ZLAY (in Material Master). This is effectively rounding down the value of the lot size to 0.

Rounding profile was changed and Sarah confirmed that these are planning correctly now."
INC1349002,RESTARTED
INC1348846,BOM date and rework IBP changes promoted. Melissa validated the BOM looks good now. CLosing the ticket as issue is resolved
INC1348803,"The Vendor in screenshot was not available in Location Master. The Source list was updated with vendor to 0010018209. This has resolved the issue. 

Confirmed by Ben to close"
INC1348225,"Original Issue resolved and the plan looks good now. 

Sean will open a new ticket if he observes the same issue again.

"
INC1347741,restarted
INC1347736,restarted
INC1347735,restarted
INC1347549,Closing based on confirmation from user
INC1347136,Discussed wtih Nenve that the system is planning based on the production version priority. The BOM is being picked based on production version priority. No issue found
INC1346816,cancelled
INC1346525,"manually cancelled
"
INC1346516,restarted
INC1345416,manually cancelled
INC1345086,IBP system is back online. Pending job will be scheduled
INC1344956,restarted
INC1344572,"this is resolved, but as Carol wants a list of all 1101 products where there is a change in BOM after planned order was created in the past, converting to a service request"
INC1344235,Restarted
INC1344233,Restarted
INC1343962,"Checked and validated. the attached SKU is no more coming from IBP.

Will close this ticket as there is no Break/Fix"
INC1343183,Restarted
INC1343154,restarted
INC1343147,Restarted
INC1343057,Restarted
INC1342896,Master data will be fixed. Elisa confirmed on closing the ticket
INC1342416,"Shipments in IBP are matching SWISSLOG and ORI at 97K.

Confirmed by Ernst to close."
INC1342390,"Confirmed with Ernst, This is fixed"
INC1342381,Realignment of data for 501243 to 501242 was completed. Ernst acknowledged the change over email
INC1342141,RESOLVED
INC1342056,Restarted
INC1342043,Restarted
INC1342035,restarted
INC1341894,"Routing on the SKU was changed and the Live Cache had old net proc time saved. 
as the order is a firmed/fixed order, it needs to be manually exploded to update live cache.

Confirmed from Carol to close"
INC1341736,"As discussed with Joel, as this is a long term analysis, we will track it as a Problem: PRB0044047

Thus closing this incident"
INC1341160,Confirmed with Sharlyn. The issue is resolved. The add-in settings in Sharlyn system need to be updated with the default file path which IBP uses to access views and templates -under IBP addin > Settings > User Settings  : File path
INC1340897,"PDS transfer was done after master data correction (advance planning flag was missing). Elisa was able to create orders for the two mentioned SKUs.
"
INC1340738,restarted manually
INC1340716,Restarted manually
INC1340714,restarted manually
INC1340462,"Redundant Step
"
INC1340459,"Redundant Step
"
INC1339655,restarted
INC1339646,RESTARTED MANUALLY
INC1339599,restarted
INC1339340,Confirmed with Rajshree that this is working correctly after correcting the master data. Rajshree would open a new ticket in future in case this reoccurs
INC1339196,Change moved to production
INC1339161,Master data fixed for the SKUs. Problem PRB0043999 is open to track the SKU 000000000000502544OS which needs source list updated.
INC1338847,restarted
INC1338846,RESTARED
INC1338756,restarted manually
INC1337787,restarted 
INC1337783,restarted
INC1337781,Restarted manually
INC1337761,RESTARTED
INC1337542,your display setting changed by going to Setting > Time Zone and changed it to EST. confirmed on closing
INC1337360,Closing this as we have another ticket with the same issue. will add details from this incident and continue to work on the new ticket. INC1348846
INC1337244,PM 503126 is now visible in IBP.
INC1337139,Redisaggregated history for sirius items for 2020. Confirmed with Ernst over email that this is fixed now. Thus closing the incident
INC1336930,Restarted Manually
INC1336903,Restarted manually
INC1336859,Restarted manually
INC1336587,"It was user error,  a bad filter on the template

Confirmed by Prerak that issue is resolved"
INC1335799,Restarted
INC1335795,Restarted
INC1335791,restarted
INC1335789,"restarted manually
"
INC1334992,Redundant
INC1334991,redundant
INC1334686,restarted manually
INC1334561,"clarified the queries Mandy had. 

Confirmed on closing the ticket"
INC1334542,RESTARTED
INC1334310,RESTARTED 
INC1334251,Restarted Manually
INC1334231,Restarted Manually
INC1333530,Restarted manually
INC1333527,restarted
INC1333517,restarted
INC1333288,"Confirmed with Sarah, the demand at 1100 for the identified SKU is not deleted today. Thus closing the ticket"
INC1333103,"Hi Carol,

Based on your last question, we do not see PR (purchase requestion) at 1101 for this SKU. We do see PReqREL for OSP sku at 1101 which is expected based on the dependent requirements from OS SKU demand at various RDCs.

Thus since we have not found anything broken systematically on this SKU, I would close this ticket

Please reach out to Ajit/Vijay/Melissa in case you have further questions.

Thanks
Vijay"
INC1332491,Restarted Manually
INC1332250,Karen reran the files
INC1332236,Restarted manually
INC1332226,restarted manually
INC1332200,CPIS650-SUP-TD-LOAD-STORECEIPTQTYINBOUND restarted manully
INC1331202,Restarted
INC1331117,Mandy uploaded the overrides are discussed and the forecast looks good. Confirmed on teams to close
INC1330105,Restarted manually
INC1330079,Restarted the job with the error Sales order (Date - 2/2/2031) SKUs are excluded
INC1329978,Per Joel Walker this ticket can be closed
INC1329902,restarted manually
INC1329137,Closed by Caller
INC1329063,"The orders that were missing have all been run, have been cancelled or are now updated. This ticket can be closed."
INC1329038,Restarted manually excluding the SKUs which were in error Sales order (Delete PIR job failed due to 02/02/2031 factory calendar error due to erroneous entry)
INC1328948,Redundant 
INC1328947,Redundant 
INC1328946,Redundant 
INC1328807,Restarted manually
INC1328659,Restarted manually
INC1328401,Elisa is now able to create order in GUI board after MRP type was set to Z0 from Z1 and PDS transfer done.
INC1328391,Started manually
INC1328259,Cancelled Manually
INC1328151,Restarted manually
INC1327598,Cleared the CIF queue. This resolved the issue and planned orders are now visible in MD04. User confirmed it is working
INC1327526,Cancelled
INC1327522,Restarted manually
INC1327360,Routing was fixed and order created on GUI Board as confirmed by Carol. Closing the ticket
INC1325405,Restarted Manually
INC1325111,Restarted Manually
INC1323893,Received user confirmation to close
INC1323411,"Restarted Manually
"
INC1323405,Restarted Manually
INC1323254,Redundant
INC1323253,Restarted Manually
INC1323252,Redundant
INC1323144,Wrong Run
INC1323086,Restarted Manually
INC1322994,restarted manually
INC1322991,Connected wtih Lynn to resolve the issue for idetnfied PM
INC1322717,Cancelled manually
INC1322670,restarted
INC1322608,Restarted manually
INC1322547,"Resolved. HCI connection issue, job stuck in post processing. Restarted manually"
INC1322115,Ajit moved the changes to production
INC1321710,Restarted manually
INC1321541,"AS discussed, the system is working as designed. Melissa and Jeffrey are aligned."
INC1321358,Confirmed with Lynn that the published forecast looks correct this week
INC1320657,"The is working fine. However please note that VSF integration program ""choses the latest effective FM"" for PIR creation."
INC1319957,Restarted Manually
INC1319956,Restarted manually
INC1319143,"Issue resolved as confirmed by Mandy and the master data looks correct now
"
INC1319045,Received confirmation from Carol to close the incident. She would update the source lists
INC1318955,Redundant Steps
INC1318952,Redundant Steps
INC1318938,issue resolved with table compression
INC1318885,Restarted Manually
INC1318856,Restarted Manually
INC1318771,Restarted Manually
INC1318750,"Restarted Manually
"
INC1318743,issue resolved
INC1318717,Restarted manually
INC1318715,IBP maintenance 
INC1318540,Cancelled Manually
INC1318533,Restarted manually
INC1318051,Connected with Elisa. The issue is no longer occuring and Elisa is able to see the material in the report. ELisa would circle back in case there is issue next week on this
INC1317696,Restarted manually
INC1317690,Restarted Manually
INC1317593,Restarted manually
INC1317229,"Melissa connected with Jeff and Nenve and explained the setup for control table for MOT. Since this is not  a system broken issue and appropriate information has been provided to business to manager MOT in IBP, I am closing this ticket"
INC1316756,Restarted Manually
INC1316722,Restarted manually
INC1316558,Reviewed no jobs in IBP.  Consulted with Tracy to close this ticket. The issue description itself mentiones issue is resolved
INC1315827,Restarted manually
INC1315737,Restarted Manually
INC1315577,Change is moved to production and validated by Narsim
INC1315076,Restarted Manually
INC1315075,Restarted Manually
INC1314926,"Explained Mandy the process for maintaining LRF overrides and the correct KF to reference to.

Confirmed on closing.
"
INC1314562,Issue is resolved. The LRF job which was promoted recently by Gallo team was failing due to non assignment to planning area
INC1314228,Redundant Step
INC1314227,Redundant Step
INC1314111,Restarted manually
INC1314050,Cancelled
INC1314049,Restarted manually
INC1314047,Restarted manually
INC1314031,Restarted manually
INC1313660,"The routing had a wrong header data - Routing usage should have been Z , instead of 1. Once this was updated, the issue was resolved."
INC1313263,Restarted manually
INC1313261,Restarted manually
INC1313260,Restarted Manually
INC1313259,Restarted manually
INC1313230,Restarted Manually
INC1312060,Explaind the business scenarios where deployment reocmmendation for low values can get generated. However validated the 2 examples today. It did not have a deployment recommendation today. Thus closing this ticket
INC1311711,Restarted Manually
INC1311709,Restarted Manually
INC1311396,"there are VSFs generated at 1121 and 1128 for 210044249

Confirmed my mollie to close"
INC1311221,"The SKUs are now visible in MD04.

these SKUs were stuck in CIF queue. 

Regards
Akshay"
INC1311161,"Validated the interfaces, are running fine for past 2 weeks. Discussed with Christina to close this incident."
INC1310858,Restarted Manually
INC1309826,Manually Cancelled
INC1309825,Manually Cancelled
INC1309413,Restarted Manually
INC1309198,"Manually Cancelled
"
INC1309184,Restarted Manually
INC1309134,Manually cancelled
INC1309085,"No break/fix found, Lynn checking eligibility

Confirmed by Lynn on closing"
INC1308783,Ajit reran the job
INC1308114,Restarted Manually
INC1307758,"Received confirmation from Irene to close.

the planned orders were date fixed with no VSF and were manually deleted. "
INC1307453,Restarted Manually
INC1307452,Restarted Manually
INC1307430,Closed as this is a redundant step
INC1307429,Redundant job
INC1307403,Restarted Mannually
INC1307324,SAP IBP maintenance downtime
INC1307322,Restarted Manually
INC1307312,Cancelled Manually
INC1307292,restarted manually
INC1307272,Restarted Manually
INC1307194,restarted manually
